Transaction ID,Sender Account ID,Receiver Account ID,Transaction Amount,Transaction Type,Timestamp,Device Used,Category
TXN5555622598,ACC82547,ACC14994,1124.76,deposit,2025-06-26 20:56:00,mobile,sales
TXN1661259342,ACC37330,ACC14994,1866.36,deposit,2025-06-03 17:50:00,mobile,sales
TXN6102878441,ACC39093,ACC14994,1020.28,deposit,2025-06-25 18:31:00,mobile,sales
TXN9159636380,ACC76575,ACC14994,1239.85,deposit,2025-06-22 16:29:00,mobile,sales
TXN8843546556,ACC14994,ACC14994,19001.6,transfer,2025-06-11 22:40:00,desktop,internal
TXN9923659972,ACC26014,ACC14994,1816.65,deposit,2025-06-20 19:52:00,mobile,sales
TXN8567435563,ACC14994,ACC14994,14812.55,transfer,2025-06-01 19:12:00,desktop,internal
TXN6629321644,ACC94544,ACC14994,1978.52,deposit,2025-06-05 17:42:00,mobile,sales
TXN5935451159,ACC42368,ACC14994,1087.16,deposit,2025-06-24 18:19:00,mobile,sales
TXN9738678049,ACC48571,ACC14994,1211.17,deposit,2025-06-11 20:08:00,mobile,sales
TXN7928484904,ACC52393,ACC14994,1770.52,deposit,2025-06-18 17:01:00,mobile,sales
TXN7021386515,ACC63554,ACC14994,1082.35,deposit,2025-06-24 21:16:00,mobile,sales
TXN8987841396,ACC77572,ACC14994,1119.11,deposit,2025-06-27 21:00:00,mobile,sales
TXN1508737583,ACC91530,ACC14994,1779.18,deposit,2025-06-09 20:33:00,mobile,sales
TXN9205710570,ACC14775,ACC14994,1532.73,deposit,2025-06-14 16:06:00,mobile,sales
TXN4240414914,ACC86525,ACC14994,1661.21,deposit,2025-06-29 19:06:00,mobile,sales
TXN9507091593,ACC76943,ACC14994,1854.82,deposit,2025-06-12 20:58:00,mobile,sales
TXN1468901290,ACC34343,ACC14994,1235.36,deposit,2025-06-19 21:10:00,mobile,sales
TXN6110235227,ACC34307,ACC14994,1445.56,deposit,2025-06-11 18:08:00,mobile,sales
TXN1571379841,ACC93005,ACC14994,1512.92,deposit,2025-06-20 18:22:00,mobile,sales
TXN2450824710,ACC91516,ACC14994,1075.77,deposit,2025-06-11 18:57:00,mobile,sales
TXN9158747164,ACC43976,ACC14994,1708.59,deposit,2025-06-24 21:57:00,mobile,sales
TXN9762631336,ACC35914,ACC14994,1029.67,deposit,2025-06-23 18:18:00,mobile,sales
TXN4357021308,ACC43160,ACC14994,1341.04,deposit,2025-06-20 16:40:00,mobile,sales
TXN5681774983,ACC11825,ACC14994,1391.66,deposit,2025-06-19 16:05:00,mobile,sales
TXN6722416814,ACC14994,ACC14994,11339.51,transfer,2025-06-29 16:11:00,desktop,internal
TXN5248285349,ACC67343,ACC14994,1751.95,deposit,2025-06-10 16:13:00,mobile,sales
TXN7599085969,ACC63258,ACC14994,1815.72,deposit,2025-06-06 19:36:00,mobile,sales
TXN6079681213,ACC12509,ACC14994,1518.01,deposit,2025-06-12 17:38:00,mobile,sales
TXN4996133736,ACC94993,ACC14994,1390.0,deposit,2025-06-11 19:25:00,mobile,sales
TXN1477540085,ACC82540,ACC14994,1290.31,deposit,2025-06-23 20:06:00,mobile,sales
TXN7389869593,ACC79589,ACC14994,1326.47,deposit,2025-06-28 21:43:00,mobile,sales
